id,date,headline,medium,length,text
111542088,2014-01-28 00:00:00,Barack Obama,Democrats,93,"Now, some of this change is hard. It requires everything from more challenging curriculums and more demanding parents to better support for teachers and new ways to measure how well our kids think, not how well they can fill in a bubble on a test. But it is worth it, and it is working. The problem is, we're still not reaching enough kids, and we're not reaching them in time. And that has to change. "
111542107,2014-01-28 00:00:00,Barack Obama,Democrats,104,"Now, I do not expect to convince my Republican friends on the merits of this law. [Laughter] But I know that the American people are not interested in refighting old battles. So again, if you have specific plans to cut costs, cover more people, increase choice, tell America what you'd do differently. Let's see if the numbers add up. But let's not have another 40-something votes to repeal a law that's already helping millions of Americans like Amanda. The first 40 were plenty. [Laughter] "
111542114,2014-01-28 00:00:00,Barack Obama,Democrats,102,"After 2014, we will support a unified Afghanistan as it takes responsibility for its own future. If the Afghan Government signs a security agreement that we have negotiated, a small force of Americans could remain in Afghanistan with NATO allies to carry out two narrow missions: training and assisting Afghan forces and counterterrorism operations to pursue any remnants of Al Qaida. For while our relationship with Afghanistan will change, one thing will not: our resolve that terrorists do not launch attacks against our country. "
111542119,2014-01-28 00:00:00,Barack Obama,Democrats,75,"And with the Afghan war ending, this needs to be the year Congress lifts the remaining restrictions on detainee transfers and we close the prison at Guantanamo Bay. Because we counter terrorism not just through intelligence and military actions, but by remaining true to our constitutional ideals and setting an example for the rest of the world. "
111542126,2014-01-28 00:00:00,Barack Obama,Democrats,181,"Our alliance with Europe remains the strongest the world has ever known. From Tunisia to Burma, we're supporting those who are willing to do the hard work of building democracy. In Ukraine, we stand for the principle that all people have the right to express themselves freely and peacefully and to have a say in their country's future. Across Africa, we're bringing together businesses and governments to double access to electricity and help end extreme poverty. In the Americas, we're building new ties of commerce, but we're also expanding cultural and educational exchanges among young people. And we will continue to focus on the Asia-Pacific, where we support our allies, shape a future of greater security and prosperity, and extend a hand to those devastated by disaster, as we did in the Philippines, when our Marines and civilians rushed to aid those battered by a typhoon, and who were greeted with words like, ""We will never forget your kindness"" and ""God bless America."" "
111542133,2014-01-28 00:00:00,Barack Obama,Democrats,128,"Even now, Cory is still blind in one eye, still struggles on his left side. But slowly, steadily, with the support of caregivers like his dad Craig and the community around him, Cory has grown stronger. And day by day, he's learned to speak again and stand again and walk again. And he's working toward the day when he can serve his country again. ""My recovery has not been easy,"" he says. ""Nothing in life that's worth anything is easy."" Cory is here tonight. And like the Army he loves, like the America he serves, Sergeant First Class Cory Remsburg never gives up, and he does not quit. Cory. "
111542139,2009-02-24 00:00:00,Barack Obama,Democrats,73,"Now, if we're honest with ourselves, we'll admit that for too long, we have not always met these responsibilities as a Government or as a people. I say this not to lay blame or to look backwards, but because it is only by understanding how we arrived at this moment that we'll be able to lift ourselves out of this predicament. "
111542157,2009-02-24 00:00:00,Barack Obama,Democrats,98,"Still, this plan will require significant resources from the Federal Government--and, yes, probably more than we've already set aside. But while the cost of action will be great, I can assure you that the cost of inaction will be far greater, for it could result in an economy that sputters along for not months or years, but perhaps a decade. That would be worse for our deficit, worse for business, worse for you, and worse for the next generation. And I refuse to let that happen. "
111542164,2009-02-24 00:00:00,Barack Obama,Democrats,112,"My budget does not attempt to solve every problem or address every issue. It reflects the stark reality of what we've inherited, a trillion-dollar deficit, a financial crisis, and a costly recession. Given these realities, everyone in this Chamber, Democrats and Republicans, will have to sacrifice some worthy priorities for which there are no dollars. And that includes me. But that does not mean we can afford to ignore our long-term challenges. I reject the view that says our problems will simply take care of themselves, that says Government has no role in laying the foundation for our common prosperity. "
111542169,2009-02-24 00:00:00,Barack Obama,Democrats,61,We will soon lay down thousands of miles of power lines that can carry new energy to cities and towns across this country. And we will put Americans to work making our homes and buildings more efficient so that we can save billions of dollars on our energy bills. 
111542177,2009-02-24 00:00:00,Barack Obama,Democrats,82,"I suffer no illusions that this will be an easy process. Once again, it will be hard. But I also know that nearly a century after Teddy Roosevelt first called for reform, the cost of our health care has weighed down our economy and our conscience long enough. So let there be no doubt: Health care reform cannot wait, it must not wait, and it will not wait another year. "
111542184,2009-02-24 00:00:00,Barack Obama,Democrats,108,"Now, I know that the price of tuition is higher than ever, which is why if you are willing to volunteer in your neighborhood or give back to your community or serve your country, we will make sure that you can afford a higher education. And to encourage a renewed spirit of national service for this and future generations, I ask Congress to send me the bipartisan legislation that bears the name of Senator Orrin Hatch, as well as an American who has never stopped asking what he can do for his country, Senator Edward Kennedy. "
111542189,2009-02-24 00:00:00,Barack Obama,Democrats,110,"In this budget, we will end education programs that don't work and end direct payments to large agribusiness that don't need them. We'll eliminate the no-bid contracts that have wasted billions in Iraq and reform our defense budget so that we're not paying for cold war-era weapons systems we don't use. We will root out the waste and fraud and abuse in our Medicare program that doesn't make our seniors any healthier. We will restore a sense of fairness and balance to our Tax Code by finally ending the tax breaks for corporations that ship our jobs overseas. "
111542203,2009-02-24 00:00:00,Barack Obama,Democrats,89,"I think of Leonard Abess, a bank president from Miami who reportedly cashed out of his company, took a $60 million bonus, and gave it out to all 399 people who worked for him, plus another 72 who used to work for him. He didn't tell anyone, but when the local newspaper found out, he simply said, ""I knew some of these people since I was 7 years old. It didn't feel right getting the money myself."" "
111542204,2009-02-24 00:00:00,Barack Obama,Democrats,89,"I think about Greensburg, Kansas, a town that was completely destroyed by a tornado, but is being rebuilt by its residents as a global example of how clean energy can power an entire community, how it can bring jobs and businesses to a place where piles of bricks and rubble once lay. ""The tragedy was terrible,"" said one of the men who helped them rebuild. ""But the folks here know that it also provided an incredible opportunity."" "
111542208,2009-02-24 00:00:00,Barack Obama,Democrats,101,"And if we do, if we come together and lift this Nation from the depths of this crisis, if we put our people back to work and restart the engine of our prosperity, if we confront without fear the challenges of our time and summon that enduring spirit of an America that does not quit, then someday years from now our children can tell their children that this was the time when we performed, in the words that are carved into this very Chamber, ""something worthy to be remembered."" "
111542253,2010-01-27 00:00:00,Barack Obama,Democrats,89,"After nearly a century of trying--Democratic administrations, Republican administrations--we are closer than ever to bringing more security to the lives of so many Americans. The approach we've taken would protect every American from the worst practices of the insurance industry. It would give small businesses and uninsured Americans a chance to choose an affordable health care plan in a competitive market. It would require every insurance plan to cover preventive care."
111542258,2010-01-27 00:00:00,Barack Obama,Democrats,105,"So as temperatures cool, I want everyone to take another look at the plan we've proposed. There's a reason why many doctors, nurses, and health care experts who know our system best consider this approach a vast improvement over the status quo. But if anyone from either party has a better approach that will bring down premiums, bring down the deficit, cover the uninsured, strengthen Medicare for seniors, and stop insurance company abuses, let me know. Let me know. Let me know. I'm eager to see it."
111542260,2010-01-27 00:00:00,Barack Obama,Democrats,82,"Now, even as health care reform would reduce our deficit, it's not enough to dig us out of a massive fiscal hole in which we find ourselves. It's a challenge that makes all others that much harder to solve and one that's been subject to a lot of political posturing. So let me start the discussion of Government spending by setting the record straight."
111542265,2010-01-27 00:00:00,Barack Obama,Democrats,96,"We will continue to go through the budget, line by line, page by page, to eliminate programs that we can't afford and don't work. We've already identified $20 billion in savings for next year. To help working families, we'll extend our middle class tax cuts. But at a time of record deficits, we will not continue tax cuts for oil companies, for investment fund managers, and for those making over $250,000 a year. We just can't afford it."
111542272,2010-01-27 00:00:00,Barack Obama,Democrats,102,"Now, that's what I came to Washington to do. That's why, for the first time in history, my administration posts on--our White House visitors online. That's why we've excluded lobbyists from policymaking jobs or seats on Federal boards and commissions. But we can't stop there. It's time to require lobbyists to disclose each contact they make on behalf of a client, with my administration or with Congress. It's time to put strict limits on the contributions that lobbyists give to candidates for Federal office."
111542278,2010-01-27 00:00:00,Barack Obama,Democrats,119,"To Democrats, I would remind you that we still have the largest majority in decades and the people expect us to solve problems, not run for the hills. And if the Republican leadership is going to insist that 60 votes in the Senate are required to do any business at all in this town--a supermajority--then the responsibility to govern is now yours as well. Just saying no to everything may be good short-term politics, but it's not leadership. We were sent here to serve our citizens, not our ambitions. So let's show the American people that we can do it together."
111542284,2010-01-27 00:00:00,Barack Obama,Democrats,114,"Tonight all of our men and women in uniform, in Iraq, in Afghanistan, and around the world, they have to know that we--that they have our respect, our gratitude, our full support. And just as they must have the resources they need in war, we all have a responsibility to support them when they come home. That's why we made the largest increase in investments for veterans in decades last year. That's why we're building a 21st-century VA. And that's why Michelle has joined with Jill Biden to forge a national commitment to support military families."
111542285,2010-01-27 00:00:00,Barack Obama,Democrats,138,"Now, even as we prosecute two wars, we're also confronting perhaps the greatest danger to the American people, the threat of nuclear weapons. I've embraced the vision of John F. Kennedy and Ronald Reagan through a strategy that reverses the spread of these weapons and seeks a world without them. To reduce our stockpiles and launchers, while ensuring our deterrent, the United States and Russia are completing negotiations on the farthest reaching arms control treaty in nearly two decades. And at April's Nuclear Security Summit, we will bring 44 nations together here in Washington, DC, behind a clear goal: securing all vulnerable nuclear materials around the world in 4 years so that they never fall into the hands of terrorists."
111542289,2010-01-27 00:00:00,Barack Obama,Democrats,96,"Abroad, America's greatest source of strength has always been our ideals. The same is true at home. We find unity in our incredible diversity, drawing on the promise enshrined in our Constitution: The notion that we're all created equal; that no matter who you are or what you look like, if you abide by the law, you should be protected by it; if you adhere to our common values, you should be treated no different than anyone else."
111542291,2010-01-27 00:00:00,Barack Obama,Democrats,78,"We're going to crack down on violations of equal pay laws so that women get equal pay for an equal day's work. And we should continue the work of fixing our broken immigration system, to secure our borders and enforce our laws and ensure that everyone who plays by the rules can contribute to our economy and enrich our Nation."
111542304,2011-01-25 00:00:00,Barack Obama,Democrats,98,"We are part of the American family. We believe that in a country where every race and faith and point of view can be found, we are still bound together as one people, that we share common hopes and a common creed, that the dreams of a little girl in Tucson are not so different than those of our own children, that they all deserve the chance to be fulfilled. That too is what sets us apart as a nation. "
111542342,2011-01-25 00:00:00,Barack Obama,Democrats,113,"One last point about education: Today, there are hundreds of thousands of students excelling in our schools who are not American citizens. Some are the children of undocumented workers, who had nothing to do with the actions of their parents. They grew up as Americans and pledge allegiance to our flag, and yet they live every day with the threat of deportation. Others come here from abroad to study in our colleges and universities. But as soon as they obtain advanced degrees, we send them back home to compete against us. It makes no sense. "
111542347,2011-01-25 00:00:00,Barack Obama,Democrats,54,"So over the last 2 years, we've begun rebuilding for the 21st century, a project that has meant thousands of good jobs for the hard-hit construction industry. And tonight I'm proposing that we redouble those efforts. "
111542354,2011-01-25 00:00:00,Barack Obama,Democrats,116,"To help businesses sell more products abroad, we set a goal of doubling our exports by 2014. Because the more we export, the more jobs we create here at home. Already, our exports are up. Recently, we signed agreements with India and China that will support more than 250,000 jobs here in the United States. And last month, we finalized a trade agreement with South Korea that will support at least 70,000 American jobs. This agreement has unprecedented support from business and labor, Democrats and Republicans, and I ask this Congress to pass it as soon as possible. "
111542359,2011-01-25 00:00:00,Barack Obama,Democrats,47,What I'm not willing to do—what I'm not willing to do is go back to the days when insurance companies could deny someone coverage because of a preexisting condition. 
111542361,2011-01-25 00:00:00,Barack Obama,Democrats,44,"So I say to this chamber tonight: Instead of refighting the battles of the last 2 years, let's fix what needs fixing, and let's move forward. "
111542373,2011-01-25 00:00:00,Barack Obama,Democrats,63,"In fact, the best thing we could do on taxes for all Americans is to simplify the individual Tax Code. This will be a tough job, but members of both parties have expressed an interest in doing this, and I am prepared to join them. "
111542392,2011-01-25 00:00:00,Barack Obama,Democrats,69,"And we saw that same desire to be free in Tunisia, where the will of the people proved more powerful than the writ of a dictator. And tonight let us be clear: The United States of America stands with the people of Tunisia and supports the democratic aspirations of all people. "
111542397,2011-01-25 00:00:00,Barack Obama,Democrats,58,"Of course, some countries don't have this problem. If the central government wants a railroad, they build a railroad, no matter how many homes get bulldozed. If they don't want a bad story in the newspaper, it doesn't get written. "
111542400,2011-01-25 00:00:00,Barack Obama,Democrats,73,That dream is why I can stand here before you tonight. That dream is why a working-class kid from Scranton can sit behind me. [Laughter] That dream is why someone who began by sweeping the floors of his father's Cincinnati bar can preside as Speaker of the House in the greatest nation on Earth. 
111542412,2012-01-24 00:00:00,Barack Obama,Democrats,94,"We gather tonight knowing that this generation of heroes has made the United States safer and more respected around the world. For the first time in 9 years, there are no Americans fighting in Iraq. For the first time in two decades, Usama bin Laden is not a threat to this country. Most of Al Qaida's top lieutenants have been defeated. The Taliban's momentum has been broken, and some troops in Afghanistan have begun to come home. "
111542417,2012-01-24 00:00:00,Barack Obama,Democrats,110,"The defining issue of our time is how to keep that promise alive. No challenge is more urgent. No debate is more important. We can either settle for a country where a shrinking number of people do really well while a growing number of Americans barely get by. Or we can restore an economy where everyone gets a fair shot and everyone does their fair share and everyone plays by the same set of rules. What's at stake aren't Democratic values or Republican values, but American values. And we have to reclaim them. "
111542429,2012-01-24 00:00:00,Barack Obama,Democrats,68,"We should start with our Tax Code. Right now companies get tax breaks for moving jobs and profits overseas. Meanwhile, companies that choose to stay in America get hit with one of the highest tax rates in the world. It makes no sense, and everyone knows it. So let's change it. "
111542431,2012-01-24 00:00:00,Barack Obama,Democrats,72,"Second, no American company should be able to avoid paying its fair share of taxes by moving jobs and profits overseas. From now on, every multinational company should have to pay a basic minimum tax. And every penny should go towards lowering taxes for companies that choose to stay here and hire here in America. "
111542467,2012-01-24 00:00:00,Barack Obama,Democrats,69,"During the Great Depression, America built the Hoover Dam and the Golden Gate Bridge. After World War II, we connected our States with a system of highways. Democratic and Republican administrations invested in great projects that benefited everybody, from the workers who built them to the businesses that still use them today. "
111542474,2012-01-24 00:00:00,Barack Obama,Democrats,116,"Now, I'm confident a farmer can contain a milk spill without a Federal agency looking over his shoulder. Absolutely. But I will not back down from making sure an oil company can contain the kind of oil spill we saw in the Gulf 2 years ago. I will not back down from protecting our kids from mercury poisoning or making sure that our food is safe and our water is clean. I will not go back to the days when health insurance companies had unchecked power to cancel your policy, deny your coverage, or charge women differently than men. "
111542479,2012-01-24 00:00:00,Barack Obama,Democrats,57,"Now, a return to the American values of fair play and shared responsibility will help protect our people and our economy. But it should also guide us as we look to pay down our debt and invest in our future. "
111542481,2012-01-24 00:00:00,Barack Obama,Democrats,111,"When it comes to the deficit, we've already agreed to more than $2 trillion in cuts and savings. But we need to do more, and that means making choices. Right now we're poised to spend nearly $1 trillion more on what was supposed to be a temporary tax break for the wealthiest 2 percent of Americans. Right now because of loopholes and shelters in the Tax Code, a quarter of all millionaires pay lower tax rates than millions of middle class households. Right now Warren Buffett pays a lower tax rate than his secretary. "
111542486,2012-01-24 00:00:00,Barack Obama,Democrats,169,"We don't begrudge financial success in this country. We admire it. When Americans talk about folks like me paying my fair share of taxes, it's not because they envy the rich. It's because they understand that when I get a tax break I don't need and the country can't afford, it either adds to the deficit or somebody else has to make up the difference, like a senior on a fixed income or a student trying to get through school or a family trying to make ends meet. That's not right. Americans know that's not right. They know that this generation's success is only possible because past generations felt a responsibility to each other and to the future of their country, and they know our way of life will only endure if we feel that same sense of shared responsibility. That's how we'll reduce our deficit. That's an America built to last. "
111542493,2012-01-24 00:00:00,Barack Obama,Democrats,64,"The executive branch also needs to change. Too often, it's inefficient, outdated, and remote. That's why I've asked this Congress to grant me the authority to consolidate the Federal bureaucracy so that our Government is leaner, quicker, and more responsive to the needs of the American people. "
111542519,2005-02-02 00:00:00,George W. Bush,Republicans,115,"First, we must be good stewards of this economy and renew the great institutions on which millions of our fellow citizens rely. America's economy is the fastest growing of any major industrialized nation. In the past 4 years, we've provided tax relief to every person who pays income taxes, overcome a recession, opened up new markets abroad, prosecuted corporate criminals, raised homeownership to its highest level in history. And in the last year alone, the United States has added 2.3 million new jobs. When action was needed, the Congress delivered, and the Nation is grateful. "
111542521,2005-02-02 00:00:00,George W. Bush,Republicans,111,"America's prosperity requires restraining the spending appetite of the Federal Government. I welcome the bipartisan enthusiasm for spending discipline. I will send you a budget that holds the growth of discretionary spending below inflation, makes tax relief permanent, and stays on track to cut the deficit in half by 2009. My budget substantially reduces or eliminates more than 150 Government programs that are not getting results or duplicate current efforts or do not fulfill essential priorities. The principle here is clear: Taxpayer dollars must be spent wisely or not at all. "
111542526,2005-02-02 00:00:00,George W. Bush,Republicans,120,"All these proposals are essential to expand this economy and add new jobs, but they are just the beginning of our duty. To build the prosperity of future generations, we must update institutions that were created to meet the needs of an earlier time. Year after year, Americans are burdened by an archaic, incoherent Federal Tax Code. I've appointed a bipartisan panel to examine the Tax Code from top to bottom. And when their recommendations are delivered, you and I will work together to give this Nation a Tax Code that is progrowth, easy to understand, and fair to all. "
111542533,2005-02-02 00:00:00,George W. Bush,Republicans,128,"I recognize that 2018 and 2042 may seem a long way off. But those dates are not so distant, as any parent will tell you. If you have a 5-year-old, you're already concerned about how you'll pay for college tuition 13 years down the road. If you've got children in their twenties, as some of us do, the idea of Social Security collapsing before they retire does not seem like a small matter. And it should not be a small matter to the United States Congress. You and I share a responsibility. We must pass reforms that solve the financial problems of Social Security once and for all. "
111542540,2005-02-02 00:00:00,George W. Bush,Republicans,82,"Our second great responsibility to our children and grandchildren is to honor and to pass along the values that sustain a free society. So many of my generation, after a long journey, have come home to family and faith and are determined to bring up responsible, moral children. Government is not the source of these values, but Government should never undermine them. "
111542544,2005-02-02 00:00:00,George W. Bush,Republicans,90,"Because courts must always deliver impartial justice, judges have a duty to faithfully interpret the law, not legislate from the bench. As President, I have a constitutional responsibility to nominate men and women who understand the role of courts in our democracy and are well-qualified to serve on the bench, and I have done so. The Constitution also gives the Senate a responsibility: Every judicial nominee deserves an up-or-down vote. "
111542545,2005-02-02 00:00:00,George W. Bush,Republicans,164,"Because one of the deepest values of our country is compassion, we must never turn away from any citizen who feels isolated from the opportunities of America. Our Government will continue to support faith-based and community groups that bring hope to harsh places. Now we need to focus on giving young people, especially young men in our cities, better options than apathy or gangs or jail. Tonight I propose a 3-year initiative to help organizations keep young people out of gangs and show young men an ideal of manhood that respects women and rejects violence. Taking on gang life will be one part of a broader outreach to at-risk youth, which involves parents and pastors, coaches and community leaders in programs ranging from literacy to sports. And I am proud that the leader of this nationwide effort will be our First Lady, Laura Bush. "
111542551,2005-02-02 00:00:00,George W. Bush,Republicans,69,"Pursuing our enemies is a vital commitment of the war on terror, and I thank the Congress for providing our service men and women with the resources they have needed. During this time of war, we must continue to support our military and give them the tools for victory. "
111542552,2005-02-02 00:00:00,George W. Bush,Republicans,142,"Other nations around the globe have stood with us. In Afghanistan, an international force is helping provide security. In Iraq, 28 countries have troops on the ground, the United Nations and the European Union provided technical assistance for the elections, and NATO is leading a mission to help train Iraqi officers. We're cooperating with 60 governments in the Proliferation Security Initiative to detect and stop the transit of dangerous materials. We're working closely with the governments in Asia to convince North Korea to abandon its nuclear ambitions. Pakistan, Saudi Arabia, and nine other countries have captured or detained Al Qaida terrorists. In the next 4 years, my administration will continue to build the coalitions that will defeat the dangers of our time. "
111542569,2005-02-02 00:00:00,George W. Bush,Republicans,36,"[At this point, in the First Lady's box, guest Safia Taleb al-Suhail embraced guest Janet Norwood.] "
111542576,2006-01-31 00:00:00,George W. Bush,Republicans,136,"Abroad, our Nation is committed to an historic, long-term goal: We seek the end of tyranny in our world. Some dismiss that goal as misguided idealism. In reality, the future security of America depends on it. On September the 11th, 2001, we found that problems originating in a failed and oppressive state 7,000 miles away could bring murder and destruction to our country. Dictatorships shelter terrorists, and feed resentment and radicalism, and seek weapons of mass destruction. Democracies replace resentment with hope, respect the rights of their citizens and their neighbors, and join the fight against terror. Every step toward freedom in the world makes our country safer, so we will act boldly in freedom's cause. "
111542583,2006-01-31 00:00:00,George W. Bush,Republicans,107,"First, we're helping Iraqis build an inclusive government, so that old resentments will be eased and the insurgency will be marginalized. Second, we're continuing reconstruction efforts and helping the Iraqi Government to fight corruption and build a modern economy, so all Iraqis can experience the benefits of freedom. And third, we're striking terrorist targets while we train Iraqi forces that are increasingly capable of defeating the enemy. Iraqis are showing their courage every day, and we are proud to be their allies in the cause of freedom. "
111542588,2006-01-31 00:00:00,George W. Bush,Republicans,170,"Our men and women in uniform are making sacrifices and showing a sense of duty stronger than all fear. They know what it's like to fight house to house in a maze of streets, to wear heavy gear in the desert heat, to see a comrade killed by a roadside bomb. And those who know the costs also know the stakes. Marine Staff Sergeant Dan Clay was killed last month fighting in Fallujah. He left behind a letter to his family, but his words could just as well be addressed to every American. Here is what Dan wrote: ""I know what honor is— it has been an honor to protect and serve all of you. I faced death with the secure knowledge that you would not have to. Never falter. Don't hesitate to honor and support those of us who have the honor of protecting that which is worth protecting."" "
111542590,2006-01-31 00:00:00,George W. Bush,Republicans,63,"Our Nation is grateful to the fallen, who live in the memory of our country. We're grateful to all who volunteer to wear our Nation's uniform. And as we honor our brave troops, let us never forget the sacrifices of America's military families. "
111542595,2006-01-31 00:00:00,George W. Bush,Republicans,128,"To overcome dangers in our world, we must also take the offensive by encouraging economic progress and fighting disease and spreading hope in hopeless lands. Isolationism would not only tie our hands in fighting enemies, it would keep us from helping our friends in desperate need. We show compassion abroad because Americans believe in the God-given dignity and worth of a villager with HIV/AIDS or an infant with malaria or a refugee fleeing genocide or a young girl sold into slavery. We also show compassion abroad because regions overwhelmed by poverty, corruption, and despair are sources of terrorism and organized crime and human trafficking and the drug trade. "
111542599,2006-01-31 00:00:00,George W. Bush,Republicans,96,"Previous Presidents have used the same constitutional authority I have, and Federal courts have approved the use of that authority. Appropriate Members of Congress have been kept informed. The terrorist surveillance program has helped prevent terrorist attacks. It remains essential to the security of America. If there are people inside our country who are talking with Al Qaida, we want to know about it, because we will not sit back and wait to be hit again. "
111542602,2006-01-31 00:00:00,George W. Bush,Republicans,45,"Here at home, America also has a great opportunity: We will build the prosperity of our country by strengthening our economic leadership in the world. "
111542603,2006-01-31 00:00:00,George W. Bush,Republicans,82,"Our economy is healthy and vigorous and growing faster than other major industrialized nations. In the last 2 1/2 years, America has created 4.6 million new jobs, more than Japan and the European Union combined. Even in the face of higher energy prices and natural disasters, the American people have turned in an economic performance that is the envy of the world. "
111542619,2006-01-31 00:00:00,George W. Bush,Republicans,90,"And to keep America competitive, one commitment is necessary above all: We must continue to lead the world in human talent and creativity. Our greatest advantage in the world has always been our educated, hard-working, ambitious people. And we're going to keep that edge. Tonight I announce an American Competitiveness Initiative to encourage innovation throughout our economy and to give our Nation's children a firm grounding in math and science. "
111542621,2006-01-31 00:00:00,George W. Bush,Republicans,73,"Second, I propose to make permanent the research and development tax credit to encourage bolder private sector initiative in technology. With more research in both the public and private sectors, we will improve our quality of life and ensure that America will lead the world in opportunity and innovation for decades to come. "
111542646,2007-01-23 00:00:00,George W. Bush,Republicans,115,"We're not the first to come here with a government divided and uncertainty in the air. Like many before us, we can work through our differences, and we can achieve big things for the American people. Our citizens don't much care which side of the aisle we sit on, as long as we're willing to cross that aisle when there is work to be done. Our job is to make life better for our fellow Americans and to help them build a future of hope and opportunity, and this is the business before us tonight. "
